"","CARREIRA","CARGO","occupation_native","occupation_english"
"1435","GERENTE DE PROSPECCAO E NEGOCIOS","GERENTE DE PROSPECCAO E NEGOCIOS","gerente de prospeccao e negocios","prospecting and business manager"
"1436","SUPERVISOR DE POLITICA AGROPECUARIA","SUPERVISOR DE POLITICA AGROPECUARIA","supervisor de politica agropecuaria","agricultural policy supervisor"
"1437","ASSESSOR TECNICO EXECUTIVO ADMINISTRATIV","ASSESSOR TECNICO EXECUTIVO ADMINISTRATIV","assessor tecnico executivo administrativ","technical administrative advisory advisory"
"1438","SUPERVISOR DE ACERVO PERMANENTE","SUPERVISOR DE ACERVO PERMANENTE","supervisor de acervo permanente","permanent collection supervisor"
"1439","ASSESSOR TECNICO DA CENTRAL DE POLICIA D","ASSESSOR TECNICO DA CENTRAL DE POLICIA D","assessor tecnico da central de policia d","technical advisor to police d central"
"1440","ASSESSOR TECNICO DE REGULARIACAO FUNDIAR","ASSESSOR TECNICO DE REGULARIACAO FUNDIAR","assessor tecnico de regulariacao fundiar","regularity technical advisor found"
"1441","ASSESSOR TECNICO DE CONTROLE DE PATRIMON","ASSESSOR TECNICO DE CONTROLE DE PATRIMON","assessor tecnico de controle de patrimon","patrimon control technician advisor"
"1442","GESTOR EM PLANEJAMENTO DE SAUDE","GESTOR EM PLANEJAMENTO DE SAUDE","gestor em planejamento de saude","health planning manager"
"1443","TECNICO EM ASSUNTOS EDUCACIONAIS","TECNICO EM ASSUNTOS EDUCACIONAIS","tecnico em assuntos educacionais","technical in educational affairs"
"1444","PRO-REITOR DA GESTAO ADMINISTRATIVA","PRO-REITOR DA GESTAO ADMINISTRATIVA","pro-reitor da gestao administrativa","administrative management pro-rector"
"1445","APOIO ADMNISTRATIVO","APOIO ADMNISTRATIVO","apoio admnistrativo","administrative support"
"1446","ASSESSOR PARA CONTROLE TEC DE SEG E FVCS","ASSESSOR PARA CONTROLE TEC DE SEG E FVCS","assessor para controle tec de seg e fvcs","seg and fvcs tec control advisor"
"1447","GERENTE DE ASSISTENCIA TECNICA E EXTENSA","GERENTE DE ASSISTENCIA TECNICA E EXTENSA","gerente de assistencia tecnica e extensa","technical and extensive assistance manager"
"1448","ASSESSOR DE CONTROLE DA QUALIDADE","ASSESSOR DE CONTROLE DA QUALIDADE","assessor de controle da qualidade","quality control advisor"
"1449","SUPERVISOR DE PROGRAMA DE TRANSPLANTE","SUPERVISOR DE PROGRAMA DE TRANSPLANTE","supervisor de programa de transplante","transplant program supervisor"
"1450","GERENTE DE ACOMPANHAMENTO DE CONVENIOS","GERENTE DE ACOMPANHAMENTO DE CONVENIOS","gerente de acompanhamento de convenios","convenience monitoring manager"
"1451","SUPERVISOR DE ORCAMENTOS PARA HABITACAO","SUPERVISOR DE ORCAMENTOS PARA HABITACAO","supervisor de orcamentos para habitacao","orcans supervisor for housing"
"1452","ASSESSOR TECNICO DE CONSTROLE DO CONSUMO","ASSESSOR TECNICO DE CONSTROLE DO CONSUMO","assessor tecnico de constrole do consumo","technical consumer construle advisor"
"1453","SUPERVISOR DE PROJETOS EM INFRAESTRUTURA","SUPERVISOR DE PROJETOS EM INFRAESTRUTURA","supervisor de projetos em infraestrutura","infrastructure project supervisor"
"1454","SUPERVISOR DE ESTUDOS E ANALISES","SUPERVISOR DE ESTUDOS E ANALISES","supervisor de estudos e analises","supervisor of study and analysis"
"1455","SUP. DE PLAN. E ART. INTERS. POL. DA CRI","SUP. DE PLAN. E ART. INTERS. POL. DA CRI","sup. de plan. e art. inters. pol. da cri","sup. plan. and art. inters. pol. cri"
"1456","SUPERINT. DE POLITICA FISCAL","SUPERINT. DE POLITICA FISCAL","superint. de politica fiscal","superint. fiscal policy"
"1457","ASSESSOR DE GOVERNANCA, TRANSP E COMUNIC","ASSESSOR DE GOVERNANCA, TRANSP E COMUNIC","assessor de governanca, transp e comunic","governanca, transp and comunic advisor"
"1458","SUPERINT. DE ADMINISTRACAO DE PESSOAS","SUPERINT. DE ADMINISTRACAO DE PESSOAS","superint. de administracao de pessoas","superint. personnel administration"
"1459","GERENTE DE CONTROLE DE METAS","GERENTE DE CONTROLE DE METAS","gerente de controle de metas","goal control manager"
"1460","ASSESSOR TECNICO DE GESTAO DO PORTAL DO","ASSESSOR TECNICO DE GESTAO DO PORTAL DO","assessor tecnico de gestao do portal do","portal of the portal management advisor"
"1461","SUPERVISOR DE SAUDE","SUPERVISOR DE SAUDE","supervisor de saude","health supervisor"
"1462","SUPERINT. DE SEGURANCA ALIMENTAR E NUTRI","SUPERINT. DE SEGURANCA ALIMENTAR E NUTRI","superint. de seguranca alimentar e nutri","superint. food security and nutri"
"1463","SUPERVISOR DE FORTALECIMENTO DAS CADEIAS","SUPERVISOR DE FORTALECIMENTO DAS CADEIAS","supervisor de fortalecimento das cadeias","chain strengthening supervisor"
"1464","ASSESSOR TECNICO FINANCEIRO, ORCAMENTARI","ASSESSOR TECNICO FINANCEIRO, ORCAMENTARI","assessor tecnico financeiro, orcamentari","financial technical advisor, orcamentari"
"1465","JETON","JETON","jeton","jeton"
"1466","ASSESSOR TECNICO DE LIQUIDACAO","ASSESSOR TECNICO DE LIQUIDACAO","assessor tecnico de liquidacao","liquidacao technical advisor"
"1467","GERENTE DE POLITICAS PARA CRIANCA E ADOL","GERENTE DE POLITICAS PARA CRIANCA E ADOL","gerente de politicas para crianca e adol","policy manager for child and adol"
"1468","AGENTE DE SINE JARAGUA","AGENTE DE SINE JARAGUA","agente de sine jaragua","sine jaragua agent"
"1469","SUPERINT. DE INTEGRACAO DE SEGURANCA PUB","SUPERINT. DE INTEGRACAO DE SEGURANCA PUB","superint. de integracao de seguranca pub","superint. pub security integration"
"1470","SUPERVISOR DE GERACAO E ADAPTACAO DE TEC","SUPERVISOR DE GERACAO E ADAPTACAO DE TEC","supervisor de geracao e adaptacao de tec","generation and tec adaptation supervisor"
"1471","SUPERINT. DE FINANCAS E CONTABILIDADE","SUPERINT. DE FINANCAS E CONTABILIDADE","superint. de financas e contabilidade","superint. finances and accounting"
"1472","SUPERVISOR DE PROJETOS ESTRATEGICOS","SUPERVISOR DE PROJETOS ESTRATEGICOS","supervisor de projetos estrategicos","strategic project supervisor"
"1473","GERENTE DO ESTADIO REI PELE","GERENTE DO ESTADIO REI PELE","gerente do estadio rei pele","rei pele stadium manager"
"1474","ASSESSOR TECNICO DE ALTA COMPLEXIDADE","ASSESSOR TECNICO DE ALTA COMPLEXIDADE","assessor tecnico de alta complexidade","high complexity technical advisor"
"1475","SUPERVISOR DAS UNIDADES PORTE I","SUPERVISOR DAS UNIDADES PORTE I","supervisor das unidades porte i","supervisor of the units porto i"
"1476","ASSESSOR TECNICO DO PRO-BANDAS","ASSESSOR TECNICO DO PRO-BANDAS","assessor tecnico do pro-bandas","pro-bandas technical advisor"
"1477","SUPERVISOR FINANCEIRO","SUPERVISOR FINANCEIRO","supervisor financeiro","financial supervisor"
"1478","SUPERVISOR DE PARCERIAS E CONTROLE DE VA","SUPERVISOR DE PARCERIAS E CONTROLE DE VA","supervisor de parcerias e controle de va","va partnership supervisor and control"
"1479","SUP. DE ORIENT., APOIO FOM. MED. MEIO AB","SUP. DE ORIENT., APOIO FOM. MED. MEIO AB","sup. de orient., apoio fom. med. meio ab","sup. from orient. med. half ab"
"1480","DIRETOR DE FINANCEIRO","DIRETOR DE FINANCEIRO","diretor de financeiro","financial director"
"1481","GERENTE DE PRODUTOS E DESTINOS","GERENTE DE PRODUTOS E DESTINOS","gerente de produtos e destinos","product and destinations manager"
"1482","GERENTE DE FAUNA, FLORA E UNIDADE DE CON","GERENTE DE FAUNA, FLORA E UNIDADE DE CON","gerente de fauna, flora e unidade de con","fauna, flora and unit manager"
"1483","ASSESSOR ESPECIAL DE RELACOES INSTITUCIO","ASSESSOR ESPECIAL DE RELACOES INSTITUCIO","assessor especial de relacoes institucio","special advisor on institutional relations"
"1484","SUPERVISOR DE APOIO OPERACIONAL","SUPERVISOR DE APOIO OPERACIONAL","supervisor de apoio operacional","operational support supervisor"
"1485","SUPERINT. DE QUALIFICACAO, EMPREEND. E E","SUPERINT. DE QUALIFICACAO, EMPREEND. E E","superint. de qualificacao, empreend. e e","superint. of qualification, empreend. and and"
"1486","SUPERINT. DE CONTROLE FINANCEIRO","SUPERINT. DE CONTROLE FINANCEIRO","superint. de controle financeiro","superint. financial control"
"1487","ASSISTENTE EXECUTIVO DE ARTICULACAO E GE","ASSISTENTE EXECUTIVO DE ARTICULACAO E GE","assistente executivo de articulacao e ge","executive assistant artication and ge"
"1488","ASSESSOR TECNICO DE VIGILANCIA EM SAUDE","ASSESSOR TECNICO DE VIGILANCIA EM SAUDE","assessor tecnico de vigilancia em saude","technical advisor to watch in health"
"1489","ASSESSOR ESPECIAL DA PRESIDENCIA","ASSESSOR ESPECIAL DA PRESIDENCIA","assessor especial da presidencia","special advisor of the presidence"
"1490","PERITO MEDICO LEGISTA","PERITO MEDICO LEGISTA","perito medico legista","medical expert"
"1491","TECNICO ADMINISTRATIVO AGROPECUARIO","TECNICO ADMINISTRATIVO AGROPECUARIO","tecnico administrativo agropecuario","agropecuary administrative technical"
"1492","GERENTE DE LICENCIAMENTO","GERENTE DE LICENCIAMENTO","gerente de licenciamento","licensing manager"
"1493","DIRETOR DE ADMINISTRACAO E PATRIMONIO","DIRETOR DE ADMINISTRACAO E PATRIMONIO","diretor de administracao e patrimonio","director of administration and heritage"
"1494","SUPERINT. DE PROJETOS E CONVENIOS","SUPERINT. DE PROJETOS E CONVENIOS","superint. de projetos e convenios","superint. of projects and conveniences"
"1495","SUPERVISOR DE OBRAS DE HABITACAO NO INTE","SUPERVISOR DE OBRAS DE HABITACAO NO INTE","supervisor de obras de habitacao no inte","supervisor of housing works in int"
"1496","ASSESSOR TECNICO DA GRANDE MATA ALAGOANA","ASSESSOR TECNICO DA GRANDE MATA ALAGOANA","assessor tecnico da grande mata alagoana","technical advisor of the great mata alagoana"
"1497","ASSESSOR TECNICO DO AGRESTE II","ASSESSOR TECNICO DO AGRESTE II","assessor tecnico do agreste ii","technical advisor of agreste ii"
"1498","SUPERVISOR DE AGROECOLOGIA E MEIO AMBIEN","SUPERVISOR DE AGROECOLOGIA E MEIO AMBIEN","supervisor de agroecologia e meio ambien","agroecology and environmental supervisor"
"1499","ASSESSOR TECNICO DE PROGRAMACAO E ORCAME","ASSESSOR TECNICO DE PROGRAMACAO E ORCAME","assessor tecnico de programacao e orcame","technical programming and orcame advisor"
"1500","ASSESSOR DE PROJETOS E PLANEJAMENTOS","ASSESSOR DE PROJETOS E PLANEJAMENTOS","assessor de projetos e planejamentos","project and planning advisor"
"1501","GERENTE DA ESCOLA PENITENCIARIA","GERENTE DA ESCOLA PENITENCIARIA","gerente da escola penitenciaria","penitentiary school manager"
"1502","ASSESSOR TECNICO DO NUCLEO DE TECNOLOGIA","ASSESSOR TECNICO DO NUCLEO DE TECNOLOGIA","assessor tecnico do nucleo de tecnologia","technical technology technical advisor"
"1503","PROCURADOR-GERAL DO ESTADO","PROCURADOR-GERAL DO ESTADO","procurador-geral do estado","state attorney general"
"1504","ASSESSOR TECNICO DE AUDITAGEM","ASSESSOR TECNICO DE AUDITAGEM","assessor tecnico de auditagem","technical audit advisor"
"1505","SUPERINT. DE POLITICAS SOBRE DROGAS","SUPERINT. DE POLITICAS SOBRE DROGAS","superint. de politicas sobre drogas","superint. drug policy"
"1506","SUPERVISOR DE ESTATISTICA","SUPERVISOR DE ESTATISTICA","supervisor de estatistica","statistics supervisor"
"1507","TECNOLOGISTA EM INF. GEOG. E ESTATISTICA","TECNOLOGISTA EM INF. GEOG. E ESTATISTICA","tecnologista em inf. geog. e estatistica","inf. geog. and statistics"
"1508","TECNICO BANCARIO","TECNICO BANCARIO","tecnico bancario","bancary technician"
"1509","ASSESSOR ESPECIAL DE PROJETOS","ASSESSOR ESPECIAL DE PROJETOS","assessor especial de projetos","special project advisor"
"1510","ASSESSOR TECNICO DO PROGRAMA BOLSA FAMIL","ASSESSOR TECNICO DO PROGRAMA BOLSA FAMIL","assessor tecnico do programa bolsa famil","technical advisor of the famil bolsa program"
"1511","GERENTE DE FORTALECIMENTO DA AGRICULTURA","GERENTE DE FORTALECIMENTO DA AGRICULTURA","gerente de fortalecimento da agricultura","agriculture strengthening manager"
"1512","ASSESSOR DE PESQUISA","ASSESSOR DE PESQUISA","assessor de pesquisa","research advisor"
"1513","ASSESSOR TECNICO DE PARQUES TECNOLOGICOS","ASSESSOR TECNICO DE PARQUES TECNOLOGICOS","assessor tecnico de parques tecnologicos","technological park technical advisor"
"1514","SUPERVISOR DE FISCALIZACAO","SUPERVISOR DE FISCALIZACAO","supervisor de fiscalizacao","supervisor of inspection"
"1515","ASSESSOR TECNICO DE ORIENTACAO DE MERCAD","ASSESSOR TECNICO DE ORIENTACAO DE MERCAD","assessor tecnico de orientacao de mercad","mercad orientation technical advisor"
"1516","SUPERVISOR DE ACOES COMPLEMENTARES DA ES","SUPERVISOR DE ACOES COMPLEMENTARES DA ES","supervisor de acoes complementares da es","supervisor of complementary hosts from es"
"1517","ASSESSOR TECNICO DE ARTICULACAO DE PROGR","ASSESSOR TECNICO DE ARTICULACAO DE PROGR","assessor tecnico de articulacao de progr","progr articulation technician advisor"
"1518","AUDITOR FISCAL DE TRIB. EST.","AUDITOR FISCAL DE TRIB. EST.","auditor fiscal de trib. est.","trib tax auditor. est."
"1519","ASSISTENTES PREVIDENCIARIOS","ASSISTENTES PREVIDENCIARIOS","assistentes previdenciarios","assistants"
"1520","ASSESSOR TECNICO DE PROCEDIMENTOS LICITA","ASSESSOR TECNICO DE PROCEDIMENTOS LICITA","assessor tecnico de procedimentos licita","technical advisor for procedures bids"
"1521","ASSISTENTE EXECUTIVO DE SUPORTE TECNICO","ASSISTENTE EXECUTIVO DE SUPORTE TECNICO","assistente executivo de suporte tecnico","technical support executive assistant"
"1522","ASSESSOR AMBIENTAL DE GEOPROCESSAMENTO","ASSESSOR AMBIENTAL DE GEOPROCESSAMENTO","assessor ambiental de geoprocessamento","environmental geoprocessing advisor"
"1523","SUPERVISOR DE TEMAS ECONOMICOS E DE INFR","SUPERVISOR DE TEMAS ECONOMICOS E DE INFR","supervisor de temas economicos e de infr","economic and infr supervisor"
"1524","ASSESSOR TECNICO DE ASSISTENCIA FARMACEU","ASSESSOR TECNICO DE ASSISTENCIA FARMACEU","assessor tecnico de assistencia farmaceu","technical assistance advisor pharmacei"
"1525","ASSESSOR ESPECIAL DE TESOURO","ASSESSOR ESPECIAL DE TESOURO","assessor especial de tesouro","special treasury advisor"
"1526","SUPERVISOR DE POLICIA COMUNITARIA","SUPERVISOR DE POLICIA COMUNITARIA","supervisor de policia comunitaria","community police supervisor"
"1527","SUPERVISOR DE PREVENCAO, PROMOCAO E REIN","SUPERVISOR DE PREVENCAO, PROMOCAO E REIN","supervisor de prevencao, promocao e rein","prevention, promotion and rein supervisor"
"1528","ASSESSOR TECNICO DE ATENCAO PRIMARIA E A","ASSESSOR TECNICO DE ATENCAO PRIMARIA E A","assessor tecnico de atencao primaria e a","primary attention technical advisor and the"
"1529","GERENTE PREV COMPENSACAO PREV - COMPREV","GERENTE PREV COMPENSACAO PREV - COMPREV","gerente prev compensacao prev - comprev","prev manager prev - compensation"
"1530","ANALISTA DE INVESTIMENTOS","ANALISTA DE INVESTIMENTOS","analista de investimentos","investment analyst"
"1531","GERENTE DE RECURSOS HUMANOS","GERENTE DE RECURSOS HUMANOS","gerente de recursos humanos","human resources manager"
"1532","GERENCIA DE ADMINISTRACAO E PATRIMONIO","GERENCIA DE ADMINISTRACAO E PATRIMONIO","gerencia de administracao e patrimonio","administration and heritage management"
"1533","SUPERVISOR GERAL PREV DA FOLHA DE PAG","SUPERVISOR GERAL PREV DA FOLHA DE PAG","supervisor geral prev da folha de pag","prev prev page prev supervisor"
"1534","CONTROLADOR PREVIDENCIARIO","CONTROLADOR PREVIDENCIARIO","controlador previdenciario","previdencing controller"
"1535","GERENTE DE PERICIA MEDICA E SAUDE OCUPAC","GERENTE DE PERICIA MEDICA E SAUDE OCUPAC","gerente de pericia medica e saude ocupac","medical expert and health manager occupac"
"1536","SUPERVISOR ADMINISTRATIVO DO HOSPITAL GE","SUPERVISOR ADMINISTRATIVO DO HOSPITAL GE","supervisor administrativo do hospital ge","ge hospital administrative supervisor"
"1537","SUPERINT. DE ATENCAO A SAUDE","SUPERINT. DE ATENCAO A SAUDE","superint. de atencao a saude","superint. health to health"
"1538","ASSESSOR TECNICO DE REFERENCIA DE PRECO","ASSESSOR TECNICO DE REFERENCIA DE PRECO","assessor tecnico de referencia de preco","price reference technician advisor"
"1539","ASSESSOR DE ANALISE DE INDICADORES","ASSESSOR DE ANALISE DE INDICADORES","assessor de analise de indicadores","indicator analysis advisor"
"1540","DIRETOR DE BENEFICIOS PREVIDENCIARIOS","DIRETOR DE BENEFICIOS PREVIDENCIARIOS","diretor de beneficios previdenciarios","director of social security benefits"
"1541","ASSESSOR ESPECIAL DE PREVID COMPLEMENTAR","ASSESSOR ESPECIAL DE PREVID COMPLEMENTAR","assessor especial de previd complementar","complementary special advisor"
"1542","GERENTE DE POLITICAS E PROGRAMAS DE DESE","GERENTE DE POLITICAS E PROGRAMAS DE DESE","gerente de politicas e programas de dese","policies manager and desires programs"
"1543","SUPERVISOR GERAL PREVID JURID-ADMIN","SUPERVISOR GERAL PREVID JURID-ADMIN","supervisor geral previd jurid-admin","previd jurid-admin general supervisor"
"1544","SUPERVISOR DE ATENCAO PSICOSSOCIAL","SUPERVISOR DE ATENCAO PSICOSSOCIAL","supervisor de atencao psicossocial","psychosocial attention supervisor"
"1545","ASSESSOR DE SUP. PARA ATENCAO PRIMARIA E","ASSESSOR DE SUP. PARA ATENCAO PRIMARIA E","assessor de sup. para atencao primaria e","sup advisor. for primary attention and"
"1546","TECNICO DE OPERACOES","TECNICO DE OPERACOES","tecnico de operacoes","operation technician"
"1547","AUDITOR FISCAL DA RECEITA ESTADUAL","AUDITOR FISCAL DA RECEITA ESTADUAL","auditor fiscal da receita estadual","state revenue tax auditor"
"1548","AUDITOR DE FIN E CONT DE ARREC DA FAZ ES","AUDITOR DE FIN E CONT DE ARREC DA FAZ ES","auditor de fin e cont de arrec da faz es","auditor of fin and conta de arc da faz es"
"1549","ASSESSOR ECONOMICO FINANCEIRO","ASSESSOR ECONOMICO FINANCEIRO","assessor economico financeiro","financial economic advisor"
"1550","ANALISTA LEGISLATIVO","ANALISTA LEGISLATIVO","analista legislativo","legislative analyst"
"1551","AUX DE SERVICO DIVERSOS","AUX DE SERVICO DIVERSOS","aux de servico diversos","miscellaneous service aux"
"1552","ASSESSOR EXECUTIVO DE GESTAO DE ESTADO","ASSESSOR EXECUTIVO DE GESTAO DE ESTADO","assessor executivo de gestao de estado","state management executive advisor"
"1553","ASSESSOR TECNICO DE GESTAO DE ESTADO","ASSESSOR TECNICO DE GESTAO DE ESTADO","assessor tecnico de gestao de estado","state management technical advisor"
"1554","GERENTE REGIONAL DE EDUCACAO 10™ REGIAO","GERENTE REGIONAL DE EDUCACAO 10™ REGIAO","gerente regional de educacao 10™ regiao","regional education manager 10 â¢ region"
"1555","GERENTE REGIONAL DE EDUCACAO 2™ REGIAO","GERENTE REGIONAL DE EDUCACAO 2™ REGIAO","gerente regional de educacao 2™ regiao","regional education manager 2 â¢ region"
"1556","GERENTE REGIONAL DE EDUCACAO 3™ REGIAO","GERENTE REGIONAL DE EDUCACAO 3™ REGIAO","gerente regional de educacao 3™ regiao","regional education manager 3 â¢ region"
"1557","SUPERVISOR DE SAUDE OCUPACIONAL","SUPERVISOR DE SAUDE OCUPACIONAL","supervisor de saude ocupacional","occupational health supervisor"
